ds,Population
1985-10-01,4927798495.890411
1985-11-01,4935300665.753425
1985-12-01,4942560830.136987
1986-01-01,4950063000.0
1986-02-01,4957785108.493151
1986-03-01,4964759916.164384
1986-04-01,4972482024.657535
1986-05-01,4979955032.876713
1986-06-01,4987677141.369863
1986-07-01,4995150149.589041
1986-08-01,5002872258.082191
1986-09-01,5010594366.575342
1986-10-01,5018067374.79452
1986-11-01,5025789483.287671
1986-12-01,5033262491.506849
1987-01-01,5040984600.0
1987-02-01,5048739644.931507
1987-03-01,5055744201.643836
1987-04-01,5063499246.575342
1987-05-01,5071004128.767123
1987-06-01,5078759173.69863
1987-07-01,5086264055.890411
1987-08-01,5094019100.821918
1987-09-01,5101774145.753425
1987-10-01,5109279027.945206
1987-11-01,5117034072.876713
1987-12-01,5124538955.068493
1988-01-01,5132294000.0
1988-02-01,5140036377.04918
1988-03-01,5147279245.901639
1988-04-01,5155021622.95082
1988-05-01,5162514245.901639
1988-06-01,5170256622.95082
1988-07-01,5177749245.901639
1988-08-01,5185491622.95082
1988-09-01,5193234000.0
1988-10-01,5200726622.95082
1988-11-01,5208469000.0
1988-12-01,5215961622.95082
1989-01-01,5223704000.0
1989-02-01,5231557786.30137
1989-03-01,5238651528.767123
1989-04-01,5246505315.068493
1989-05-01,5254105753.424658
1989-06-01,5261959539.7260275
1989-07-01,5269559978.082191
1989-08-01,5277413764.383562
1989-09-01,5285267550.684932
1989-10-01,5292867989.041096
1989-11-01,5300721775.342465
1989-12-01,5308322213.69863
1990-01-01,5316176000.0
1990-02-01,5323825780.821918
1990-03-01,5330735260.2739725
1990-04-01,5338385041.09589
1990-05-01,5345788054.79452
1990-06-01,5353437835.616438
1990-07-01,5360840849.315068
1990-08-01,5368490630.136987
1990-09-01,5376140410.958904
1990-10-01,5383543424.657535
1990-11-01,5391193205.479452
1990-12-01,5398596219.178082
1991-01-01,5406246000.0
1991-02-01,5413587504.931507
1991-03-01,5420218541.643836
1991-04-01,5427560046.575342
1991-05-01,5434664728.767123
1991-06-01,5442006233.69863
1991-07-01,5449110915.890411
1991-08-01,5456452420.821918
1991-09-01,5463793925.753425
1991-10-01,5470898607.945206
1991-11-01,5478240112.876713
1991-12-01,5485344795.068493
1992-01-01,5492686300.0
1992-02-01,5499864350.0
1992-03-01,5506579300.0
1992-04-01,5513757350.0
1992-05-01,5520703850.0
1992-06-01,5527881900.0
1992-07-01,5534828400.0
1992-08-01,5542006450.0
1992-09-01,5549184500.0
1992-10-01,5556131000.0
1992-11-01,5563309050.0
1992-12-01,5570255550.0
1993-01-01,5577433600.0
1993-02-01,5584507918.90411
1993-03-01,5590897626.30137
1993-04-01,5597971945.20548
1993-05-01,5604818060.2739725
1993-06-01,5611892379.178082
1993-07-01,5618738494.246575
1993-08-01,5625812813.150685
1993-09-01,5632887132.054794
1993-10-01,5639733247.123287
1993-11-01,5646807566.027397
1993-12-01,5653653681.09589
1994-01-01,5660728000.0
1994-02-01,5667734144.383562
1994-03-01,5674062274.79452
1994-04-01,5681068419.178082
1994-05-01,5687848558.90411
1994-06-01,5694854703.287671
1994-07-01,5701634843.013699
1994-08-01,5708640987.397261
1994-09-01,5715647131.780822
1994-10-01,5722427271.506849
1994-11-01,5729433415.890411
1994-12-01,5736213555.616438
1995-01-01,5743219700.0
1995-02-01,5750177764.657535
1995-03-01,5756462468.219178
1995-04-01,5763420532.876713
1995-05-01,5770154143.835616
1995-06-01,5777112208.493151
1995-07-01,5783845819.452055
1995-08-01,5790803884.109589
1995-09-01,5797761948.767123
1995-10-01,5804495559.7260275
1995-11-01,5811453624.383562
1995-12-01,5818187235.342465
1996-01-01,5825145300.0
1996-02-01,5832034389.344262
1996-03-01,5838479021.311476
1996-04-01,5845368110.655738
1996-05-01,5852034971.311476
1996-06-01,5858924060.655738
1996-07-01,5865590921.311476
1996-08-01,5872480010.655738
1996-09-01,5879369100.0
1996-10-01,5886035960.655738
1996-11-01,5892925050.0
1996-12-01,5899591910.655738
1997-01-01,5906481000.0
1997-02-01,5913346149.589041
1997-03-01,5919546929.863013
1997-04-01,5926412079.452055
1997-05-01,5933055772.602739
1997-06-01,5939920922.191781
1997-07-01,5946564615.342465
1997-08-01,5953429764.931507
1997-09-01,5960294914.520548
1997-10-01,5966938607.671233
1997-11-01,5973803757.260274
1997-12-01,5980447450.410959
1998-01-01,5987312600.0
1998-02-01,5994145000.0
1998-03-01,6000316200.0
1998-04-01,6007148600.0
1998-05-01,6013760600.0
1998-06-01,6020593000.0
1998-07-01,6027205000.0
1998-08-01,6034037400.0
1998-09-01,6040869800.0
1998-10-01,6047481800.0
1998-11-01,6054314200.0
1998-12-01,6060926200.0
