ds,Consumption
1984-11-01,87785.25045467784
1984-12-01,87927.00949549857
1985-01-01,88073.49383768
1985-02-01,88221.45729184936
1985-03-01,88355.10170206685
1985-04-01,88503.06515623622
1985-05-01,88646.25559575496
1985-06-01,88794.21904992433
1985-07-01,88937.40948944306
1985-08-01,89085.37294361243
1985-09-01,89233.3363977818
1985-10-01,89376.52683730054
1985-11-01,89524.49029146989
1985-12-01,89667.68073098864
1986-01-01,89815.644185158
1986-02-01,90052.85826892212
1986-03-01,90267.11615103165
1986-04-01,90504.33023479575
1986-05-01,90733.89225134168
1986-06-01,90971.10633510578
1986-07-01,91200.66835165171
1986-08-01,91437.88243541581
1986-09-01,91675.09651917993
1986-10-01,91904.65853572584
1986-11-01,92141.87261948996
1986-12-01,92371.43463603588
1987-01-01,92608.6487198
1987-02-01,92867.81256396646
1987-03-01,93101.89603611681
1987-04-01,93361.05988028328
1987-05-01,93611.86360044438
1987-06-01,93871.02744461085
1987-07-01,94121.83116477194
1987-08-01,94380.99500893841
1987-09-01,94640.15885310488
1987-10-01,94890.96257326598
1987-11-01,95150.12641743243
1987-12-01,95400.93013759353
1988-01-01,95660.09398176
1988-02-01,95815.87018603207
1988-03-01,95961.59631260918
1988-04-01,96117.37251688125
1988-05-01,96268.12368230584
1988-06-01,96423.89988657793
1988-07-01,96574.65105200252
1988-08-01,96730.42725627459
1988-09-01,96886.20346054666
1988-10-01,97036.95462597125
1988-11-01,97192.73083024334
1988-12-01,97343.48199566793
1989-01-01,97499.25819994
1989-02-01,97589.5737571151
1989-03-01,97671.1490990797
1989-04-01,97761.46465625479
1989-05-01,97848.86680835971
1989-06-01,97939.18236553481
1989-07-01,98026.58451763974
1989-08-01,98116.90007481484
1989-09-01,98207.21563198994
1989-10-01,98294.61778409487
1989-11-01,98384.93334126996
1989-12-01,98472.33549337489
1990-01-01,98562.65105054999
1990-02-01,98606.56064836876
1990-03-01,98646.22093026958
1990-04-01,98690.13052808835
1990-05-01,98732.6236872678
1990-06-01,98776.53328508657
1990-07-01,98819.02644426601
1990-08-01,98862.93604208478
1990-09-01,98906.84563990355
1990-10-01,98949.33879908301
1990-11-01,98993.24839690178
1990-12-01,99035.74155608122
1991-01-01,99079.65115389999
1991-02-01,99133.2642344567
1991-03-01,99181.6889523789
1991-04-01,99235.30203293561
1991-05-01,99287.18565928082
1991-06-01,99340.79873983753
1991-07-01,99392.68236618274
1991-08-01,99446.29544673944
1991-09-01,99499.90852729615
1991-10-01,99551.79215364136
1991-11-01,99605.40523419807
1991-12-01,99657.28886054328
1992-01-01,99710.90194109999
