year,month,Monthly Anamoly,Monthly Unc.,city_num,DateTime
1832,3,3.1590000000000003,1.686,0,1832-03-01
1832,4,10.033000000000001,1.567,0,1832-04-01
1832,5,14.758,1.729,0,1832-05-01
1832,6,19.287,1.905,0,1832-06-01
1832,7,22.845,2.25,0,1832-07-01
1832,8,22.943,2.121,0,1832-08-01
1832,9,18.713,1.411,0,1832-09-01
1832,10,13.112,1.521,0,1832-10-01
1832,11,4.935,1.794,0,1832-11-01
1832,12,-2.883,2.175,0,1832-12-01
1833,1,-4.677,1.845,0,1833-01-01
1833,2,-2.479,1.725,0,1833-02-01
1833,3,2.446,1.77,0,1833-03-01
1833,4,,,0,1833-04-01
1833,5,,,0,1833-05-01
1833,6,,,0,1833-06-01
1833,7,,,0,1833-07-01
1833,8,,,0,1833-08-01
1833,9,,,0,1833-09-01
1833,10,,,0,1833-10-01
1833,11,,,0,1833-11-01
1833,12,,,0,1833-12-01
1834,1,,,0,1834-01-01
1834,2,,,0,1834-02-01
1834,3,,,0,1834-03-01
1834,4,,,0,1834-04-01
1834,5,,,0,1834-05-01
1834,6,,,0,1834-06-01
1834,7,,,0,1834-07-01
1834,8,,,0,1834-08-01
1834,9,,,0,1834-09-01
1834,10,,,0,1834-10-01
1834,11,,,0,1834-11-01
1834,12,,,0,1834-12-01
1835,1,,,0,1835-01-01
1835,2,,,0,1835-02-01
1835,3,,,0,1835-03-01
1835,4,,,0,1835-04-01
1835,5,,,0,1835-05-01
1835,6,,,0,1835-06-01
1835,7,,,0,1835-07-01
1835,8,,,0,1835-08-01
1835,9,,,0,1835-09-01
1835,10,,,0,1835-10-01
1835,11,,,0,1835-11-01
1835,12,,,0,1835-12-01
1836,1,,,0,1836-01-01
1836,2,,,0,1836-02-01
1836,3,,,0,1836-03-01
1836,4,,,0,1836-04-01
1836,5,,,0,1836-05-01
1836,6,,,0,1836-06-01
1836,7,,,0,1836-07-01
1836,8,,,0,1836-08-01
1836,9,,,0,1836-09-01
1836,10,,,0,1836-10-01
1836,11,,,0,1836-11-01
1836,12,,,0,1836-12-01
1837,1,,,0,1837-01-01
1837,2,,,0,1837-02-01
1837,3,,,0,1837-03-01
1837,4,,,0,1837-04-01
1837,5,,,0,1837-05-01
1837,6,,,0,1837-06-01
1837,7,,,0,1837-07-01
1837,8,,,0,1837-08-01
1837,9,,,0,1837-09-01
1837,10,,,0,1837-10-01
1837,11,,,0,1837-11-01
1837,12,,,0,1837-12-01
1838,1,,,0,1838-01-01
1838,2,,,0,1838-02-01
1838,3,,,0,1838-03-01
1838,4,,,0,1838-04-01
1838,5,,,0,1838-05-01
1838,6,,,0,1838-06-01
1838,7,,,0,1838-07-01
1838,8,,,0,1838-08-01
1838,9,,,0,1838-09-01
1838,10,,,0,1838-10-01
1838,11,,,0,1838-11-01
1838,12,,,0,1838-12-01
1839,1,-4.664,2.469,0,1839-01-01
1839,2,-2.6950000000000003,2.575,0,1839-02-01
1839,3,1.435,2.055,0,1839-03-01
1839,4,9.081000000000001,1.842,0,1839-04-01
1839,5,15.222999999999999,1.542,0,1839-05-01
1839,6,19.79,1.223,0,1839-06-01
1839,7,23.917,2.357,0,1839-07-01
1839,8,24.342,1.796,0,1839-08-01
1839,9,19.904,1.566,0,1839-09-01
1839,10,11.868,2.694,0,1839-10-01
1839,11,4.34,1.941,0,1839-11-01
1839,12,-3.297,2.357,0,1839-12-01
1840,1,-3.996,2.535,0,1840-01-01
1840,2,-2.566,1.946,0,1840-02-01
1840,3,2.109,2.576,0,1840-03-01
1840,4,10.418000000000001,1.533,0,1840-04-01
1840,5,16.133,1.405,0,1840-05-01
1840,6,20.099,1.416,0,1840-06-01
1840,7,23.931,2.034,0,1840-07-01
1840,8,23.922,1.933,0,1840-08-01
1840,9,19.682,1.192,0,1840-09-01
1840,10,12.696,1.687,0,1840-10-01
1840,11,6.193,2.9,0,1840-11-01
1840,12,-2.51,2.211,0,1840-12-01
1841,1,-6.422000000000001,2.683,0,1841-01-01
1841,2,-3.8659999999999997,2.053,0,1841-02-01
1841,3,1.274,1.248,0,1841-03-01
1841,4,9.308000000000002,2.126,0,1841-04-01
1841,5,14.978,0.909,0,1841-05-01
1841,6,18.544999999999998,2.692,0,1841-06-01
1841,7,23.756,1.698,0,1841-07-01
1841,8,23.21,1.864,0,1841-08-01
1841,9,18.906,1.161,0,1841-09-01
1841,10,12.261,1.373,0,1841-10-01
1841,11,4.673,1.744,0,1841-11-01
1841,12,-2.505,3.18,0,1841-12-01
1842,1,-4.965,2.881,0,1842-01-01
1842,2,-2.22,1.741,0,1842-02-01
1842,3,3.771,1.692,0,1842-03-01
1842,4,10.418000000000001,1.6,0,1842-04-01
1842,5,14.769,1.283,0,1842-05-01
1842,6,19.483,1.761,0,1842-06-01
1842,7,22.6,1.714,0,1842-07-01
1842,8,23.327,1.565,0,1842-08-01
1842,9,19.589,1.331,0,1842-09-01
1842,10,12.225,1.705,0,1842-10-01
1842,11,4.531,1.895,0,1842-11-01
1842,12,-0.21199999999999997,1.846,0,1842-12-01
1843,1,-3.439,1.957,0,1843-01-01
1843,2,-0.28600000000000003,1.945,0,1843-02-01
1843,3,4.1290000000000004,3.017,0,1843-03-01
1843,4,10.167000000000002,1.701,0,1843-04-01
1843,5,14.176,1.347,0,1843-05-01
1843,6,18.651,1.211,0,1843-06-01
1843,7,23.225,1.756,0,1843-07-01
1843,8,23.677,1.368,0,1843-08-01
1843,9,19.706,1.354,0,1843-09-01
1843,10,12.219,1.838,0,1843-10-01
1843,11,5.051,1.714,0,1843-11-01
1843,12,-0.6399999999999999,2.632,0,1843-12-01
1844,1,-4.108,2.662,0,1844-01-01
1844,2,-2.24,2.438,0,1844-02-01
1844,3,4.006,1.855,0,1844-03-01
1844,4,9.07,1.573,0,1844-04-01
1844,5,14.482999999999999,0.931,0,1844-05-01
1844,6,18.999,0.926,0,1844-06-01
1844,7,22.899,1.204,0,1844-07-01
1844,8,23.904,1.349,0,1844-08-01
1844,9,19.376,1.059,0,1844-09-01
1844,10,13.465,1.055,0,1844-10-01
1844,11,6.644,2.447,0,1844-11-01
1844,12,-1.762,1.752,0,1844-12-01
1845,1,-2.036,1.079,0,1845-01-01
1845,2,-1.296,2.536,0,1845-02-01
1845,3,3.989,0.729,0,1845-03-01
1845,4,9.898000000000001,1.165,0,1845-04-01
1845,5,15.902999999999999,1.32,0,1845-05-01
1845,6,20.837,1.383,0,1845-06-01
1845,7,23.888,1.159,0,1845-07-01
1845,8,22.986,1.401,0,1845-08-01
1845,9,18.9,1.578,0,1845-09-01
1845,10,12.296999999999999,1.36,0,1845-10-01
1845,11,4.826,1.69,0,1845-11-01
1845,12,-4.181,2.413,0,1845-12-01
1846,1,-4.646,4.5,0,1846-01-01
1846,2,-1.2630000000000001,2.464,0,1846-02-01
1846,3,2.91,0.98,0,1846-03-01
1846,4,9.832,2.259,0,1846-04-01
1846,5,13.584999999999999,1.244,0,1846-05-01
1846,6,19.995,1.037,0,1846-06-01
1846,7,23.62,0.907,0,1846-07-01
1846,8,24.649,0.618,0,1846-08-01
1846,9,21.418,1.557,0,1846-09-01
1846,10,13.747,2.043,0,1846-10-01
1846,11,4.3919999999999995,1.441,0,1846-11-01
1846,12,-0.22499999999999998,1.894,0,1846-12-01
1847,1,-2.9939999999999998,2.108,0,1847-01-01
1847,2,-2.21,1.944,0,1847-02-01
1847,3,3.217,2.384,0,1847-03-01
1847,4,11.136000000000001,1.552,0,1847-04-01
1847,5,15.068999999999999,1.047,0,1847-05-01
1847,6,19.093,1.076,0,1847-06-01
1847,7,23.771,1.512,0,1847-07-01
1847,8,23.399,1.537,0,1847-08-01
1847,9,19.889,1.18,0,1847-09-01
1847,10,12.918,0.508,0,1847-10-01
1847,11,7.8,1.047,0,1847-11-01
1847,12,-0.639,1.837,0,1847-12-01
1848,1,-4.816,1.82,0,1848-01-01
1848,2,-1.081,1.604,0,1848-02-01
1848,3,4.221,0.824,0,1848-03-01
1848,4,9.863000000000001,0.947,0,1848-04-01
1848,5,16.192999999999998,1.794,0,1848-05-01
1848,6,19.493,1.339,0,1848-06-01
1848,7,23.928,0.98,0,1848-07-01
1848,8,23.245,1.293,0,1848-08-01
1848,9,19.899,1.136,0,1848-09-01
1848,10,13.363,1.313,0,1848-10-01
1848,11,4.786,0.973,0,1848-11-01
1848,12,0.4980000000000001,1.412,0,1848-12-01
1849,1,-2.349,2.381,0,1849-01-01
1849,2,1.179,1.599,0,1849-02-01
1849,3,4.494,1.973,0,1849-03-01
1849,4,9.077000000000002,1.296,0,1849-04-01
1849,5,14.852,1.351,0,1849-05-01
1849,6,19.483,1.001,0,1849-06-01
1849,7,22.245,1.618,0,1849-07-01
1849,8,24.144000000000002,1.487,0,1849-08-01
1849,9,20.695999999999998,1.099,0,1849-09-01
1849,10,12.552999999999999,1.405,0,1849-10-01
1849,11,4.676,2.027,0,1849-11-01
1849,12,-1.4169999999999998,1.761,0,1849-12-01
1850,1,-4.358,1.79,0,1850-01-01
1850,2,-1.995,2.022,0,1850-02-01
1850,3,4.195,1.225,0,1850-03-01
1850,4,7.769000000000001,2.01,0,1850-04-01
1850,5,15.703,1.962,0,1850-05-01
1850,6,19.413,1.256,0,1850-06-01
1850,7,23.318,0.764,0,1850-07-01
1850,8,22.833000000000002,1.008,0,1850-08-01
1850,9,19.767,1.065,0,1850-09-01
1850,10,12.995,1.59,0,1850-10-01
1850,11,4.019,2.297,0,1850-11-01
1850,12,-1.83,2.453,0,1850-12-01
1851,1,-3.113,0.726,0,1851-01-01
1851,2,-2.103,0.762,0,1851-02-01
1851,3,1.7180000000000002,1.329,0,1851-03-01
1851,4,7.9460000000000015,1.239,0,1851-04-01
1851,5,14.277,1.514,0,1851-05-01
1851,6,20.099,1.944,0,1851-06-01
1851,7,23.61,0.468,0,1851-07-01
1851,8,23.356,0.907,0,1851-08-01
1851,9,18.906,1.007,0,1851-09-01
1851,10,11.33,0.92,0,1851-10-01
1851,11,5.039,2.207,0,1851-11-01
1851,12,-3.213,1.015,0,1851-12-01
1852,1,-5.072,1.002,0,1852-01-01
1852,2,-4.7940000000000005,1.774,0,1852-02-01
1852,3,0.8490000000000002,1.399,0,1852-03-01
1852,4,7.972000000000001,1.274,0,1852-04-01
1852,5,14.677,1.406,0,1852-05-01
1852,6,20.589,0.827,0,1852-06-01
1852,7,24.472,0.439,0,1852-07-01
1852,8,23.578,0.727,0,1852-08-01
1852,9,19.211,0.807,0,1852-09-01
1852,10,13.34,1.143,0,1852-10-01
1852,11,4.891,1.839,0,1852-11-01
1852,12,-1.592,1.457,0,1852-12-01
1853,1,-4.692,1.679,0,1853-01-01
1853,2,-3.9370000000000003,2.904,0,1853-02-01
1853,3,2.548,1.191,0,1853-03-01
1853,4,8.583,1.003,0,1853-04-01
1853,5,14.802999999999999,0.726,0,1853-05-01
1853,6,20.522,0.963,0,1853-06-01
1853,7,25.574,1.552,0,1853-07-01
1853,8,24.251,1.382,0,1853-08-01
1853,9,20.458,1.271,0,1853-09-01
1853,10,11.828,1.732,0,1853-10-01
1853,11,5.726,0.656,0,1853-11-01
1853,12,-2.2199999999999998,1.192,0,1853-12-01
1854,1,-3.649,1.233,0,1854-01-01
1854,2,-4.133,1.796,0,1854-02-01
1854,3,3.2070000000000003,0.945,0,1854-03-01
1854,4,9.427000000000001,1.463,0,1854-04-01
1854,5,15.854999999999999,0.959,0,1854-05-01
1854,6,20.096999999999998,1.088,0,1854-06-01
1854,7,24.186,1.196,0,1854-07-01
1854,8,23.898,0.946,0,1854-08-01
1854,9,19.894,0.939,0,1854-09-01
1854,10,13.182,1.486,0,1854-10-01
1854,11,5.67,1.28,0,1854-11-01
1854,12,-1.37,2.066,0,1854-12-01
1855,1,-4.22,1.925,0,1855-01-01
1855,2,-1.927,2.357,0,1855-02-01
1855,3,3.6180000000000003,0.717,0,1855-03-01
1855,4,11.523000000000001,1.767,0,1855-04-01
1855,5,15.533999999999999,0.836,0,1855-05-01
1855,6,20.5,1.088,0,1855-06-01
1855,7,24.135,0.925,0,1855-07-01
1855,8,23.352,0.9,0,1855-08-01
1855,9,20.174,0.956,0,1855-09-01
1855,10,13.219999999999999,1.46,0,1855-10-01
1855,11,5.202999999999999,1.097,0,1855-11-01
1855,12,-0.26299999999999996,2.261,0,1855-12-01
1856,1,-4.944,2.499,0,1856-01-01
1856,2,-4.554,1.271,0,1856-02-01
1856,3,3.855,1.195,0,1856-03-01
1856,4,9.942,0.718,0,1856-04-01
1856,5,15.401,1.916,0,1856-05-01
1856,6,20.471999999999998,1.555,0,1856-06-01
1856,7,24.99,2.714,0,1856-07-01
1856,8,24.515,2.063,0,1856-08-01
1856,9,19.599,1.619,0,1856-09-01
