,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2953,2071-02-01,29.118771030972198,28.02983324109561,29.76060377497343,28.60437369854542,29.608187367862957,-0.2780735798857392,-0.2780735798857392,-0.2780735798857392,-0.2780735798857392,-0.2780735798857392,-0.2780735798857392,0.0,0.0,0.0,28.84069745108646
2954,2071-03-01,29.120641540119763,28.54122743436321,30.174538283031204,28.60519565798989,29.611270617023855,0.2510806698164158,0.2510806698164158,0.2510806698164158,0.2510806698164158,0.2510806698164158,0.2510806698164158,0.0,0.0,0.0,29.37172220993618
2955,2071-04-01,29.122712460961722,28.763915820522485,30.380893068747625,28.60621802912875,29.614554277879144,0.4978184007505162,0.4978184007505162,0.4978184007505162,0.4978184007505162,0.4978184007505162,0.4978184007505162,0.0,0.0,0.0,29.62053086171224
2956,2071-05-01,29.12471657790555,29.03120814618956,30.57879324322687,28.60717359636948,29.617771134836307,0.7062841884075106,0.7062841884075106,0.7062841884075106,0.7062841884075106,0.7062841884075106,0.7062841884075106,0.0,0.0,0.0,29.83100076631306
2957,2071-06-01,29.126787498747507,28.60234082543127,30.233453907232555,28.608195967508344,29.62105479569159,0.34757593552093635,0.34757593552093635,0.34757593552093635,0.34757593552093635,0.34757593552093635,0.34757593552093635,0.0,0.0,0.0,29.474363434268444
2958,2071-07-01,29.128791615691334,28.252987155064382,29.861630770293793,28.60915153474907,29.62427165264875,-0.06829661964667352,-0.06829661964667352,-0.06829661964667352,-0.06829661964667352,-0.06829661964667352,-0.06829661964667352,0.0,0.0,0.0,29.06049499604466
2959,2071-08-01,29.130862536533286,28.20812203160382,29.826359033808277,28.610173905887926,29.62755531350404,-0.12190255383979137,-0.12190255383979137,-0.12190255383979137,-0.12190255383979137,-0.12190255383979137,-0.12190255383979137,0.0,0.0,0.0,29.008959982693494
2960,2071-09-01,29.13293345737524,28.3177142003764,29.91631041427828,28.61119627702679,29.630838974359328,-0.032745026434039745,-0.032745026434039745,-0.032745026434039745,-0.032745026434039745,-0.032745026434039745,-0.032745026434039745,0.0,0.0,0.0,29.100188430941202
2961,2071-10-01,29.134937574319068,28.165656467193852,29.85188715128951,28.61215184426752,29.63405583131648,-0.11302604377873336,-0.11302604377873336,-0.11302604377873336,-0.11302604377873336,-0.11302604377873336,-0.11302604377873336,0.0,0.0,0.0,29.021911530540333
2962,2071-11-01,29.137008495161027,28.140689597004414,29.77820441194839,28.613174215406378,29.63733789343548,-0.12927711528724267,-0.12927711528724267,-0.12927711528724267,-0.12927711528724267,-0.12927711528724267,-0.12927711528724267,0.0,0.0,0.0,29.007731379873785
2963,2071-12-01,29.139012612104853,27.868412083849005,29.49301405769799,28.614129782647108,29.64054837870197,-0.49130867887412655,-0.49130867887412655,-0.49130867887412655,-0.49130867887412655,-0.49130867887412655,-0.49130867887412655,0.0,0.0,0.0,28.647703933230726
2964,2072-01-01,29.141083532946805,27.725527309413202,29.42109745639166,28.615152153785964,29.643825667866576,-0.5604687464886917,-0.5604687464886917,-0.5604687464886917,-0.5604687464886917,-0.5604687464886917,-0.5604687464886917,0.0,0.0,0.0,28.580614786458113
2965,2072-02-01,29.143154453788764,28.072921176694763,29.665297065544987,28.616174524924826,29.64710295703119,-0.28030269626291626,-0.28030269626291626,-0.28030269626291626,-0.28030269626291626,-0.28030269626291626,-0.28030269626291626,0.0,0.0,0.0,28.86285175752585
2966,2072-03-01,29.14509176683446,28.64554503592419,30.18470527594123,28.617063288267428,29.650246638399555,0.2516477945345761,0.2516477945345761,0.2516477945345761,0.2516477945345761,0.2516477945345761,0.2516477945345761,0.0,0.0,0.0,29.39673956136904
2967,2072-04-01,29.147162687676413,28.771102468531982,30.3939732863815,28.618085659406283,29.653523927564162,0.4840144861524967,0.4840144861524967,0.4840144861524967,0.4840144861524967,0.4840144861524967,0.4840144861524967,0.0,0.0,0.0,29.63117717382891
2968,2072-05-01,29.149166804620247,29.0185954442799,30.669884030444198,28.619041226647017,29.656734412830655,0.7071739507025462,0.7071739507025462,0.7071739507025462,0.7071739507025462,0.7071739507025462,0.7071739507025462,0.0,0.0,0.0,29.856340755322794
2969,2072-06-01,29.1512377254622,28.7259474203335,30.30155431059721,28.620063597785872,29.660011701995263,0.3626958216458147,0.3626958216458147,0.3626958216458147,0.3626958216458147,0.3626958216458147,0.3626958216458147,0.0,0.0,0.0,29.513933547108014
2970,2072-07-01,29.153241842406022,28.323792595573252,29.883023877295702,28.621019165026606,29.663222187261752,-0.06285995229007185,-0.06285995229007185,-0.06285995229007185,-0.06285995229007185,-0.06285995229007185,-0.06285995229007185,0.0,0.0,0.0,29.09038189011595
2971,2072-08-01,29.15531276324798,28.217789346705054,29.84777792347493,28.62204153616547,29.666499476426367,-0.13287928794564913,-0.13287928794564913,-0.13287928794564913,-0.13287928794564913,-0.13287928794564913,-0.13287928794564913,0.0,0.0,0.0,29.022433475302332
2972,2072-09-01,29.157383684089933,28.349178351898388,29.884376226211035,28.623063907304324,29.669776765590978,-0.04844797333213929,-0.04844797333213929,-0.04844797333213929,-0.04844797333213929,-0.04844797333213929,-0.04844797333213929,0.0,0.0,0.0,29.108935710757795
2973,2072-10-01,29.15938780103376,28.203596459776655,29.85440109396225,28.62401947454505,29.672987250857464,-0.11514808241471879,-0.11514808241471879,-0.11514808241471879,-0.11514808241471879,-0.11514808241471879,-0.11514808241471879,0.0,0.0,0.0,29.04423971861904
2974,2072-11-01,29.161458721875718,28.24375628170455,29.83539370421353,28.625041845683914,29.676264540022082,-0.14485448086659303,-0.14485448086659303,-0.14485448086659303,-0.14485448086659303,-0.14485448086659303,-0.14485448086659303,0.0,0.0,0.0,29.016604241009126
