,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1819-07-01,15.215186534,25.63322532811828,29.753780291420465,15.215186534,15.215186534,12.383929678857296,12.383929678857296,12.383929678857296,12.383929678857296,12.383929678857296,12.383929678857296,0.0,0.0,0.0,27.599116212857297
1,1819-08-01,15.215775320004262,25.311189294521288,29.32084795483942,15.215775320004262,15.215775320004262,11.982003360254502,11.982003360254502,11.982003360254502,11.982003360254502,11.982003360254502,11.982003360254502,0.0,0.0,0.0,27.197778680258764
2,1819-09-01,15.216364106008525,20.971253403153288,25.01206160398829,15.216364106008525,15.216364106008525,7.689604903282118,7.689604903282118,7.689604903282118,7.689604903282118,7.689604903282118,7.689604903282118,0.0,0.0,0.0,22.905969009290644
3,1819-10-01,15.216933898915876,15.112925912820156,18.96507512522415,15.216933898915876,15.216933898915876,1.8642608843313668,1.8642608843313668,1.8642608843313668,1.8642608843313668,1.8642608843313668,1.8642608843313668,0.0,0.0,0.0,17.08119478324724
4,1819-11-01,15.217522684920139,9.000394528932837,13.004135013095828,15.217522684920139,15.217522684920139,-4.28991403948408,-4.28991403948408,-4.28991403948408,-4.28991403948408,-4.28991403948408,-4.28991403948408,0.0,0.0,0.0,10.92760864543606
5,1819-12-01,15.21809247782749,3.0490142196581353,7.082143980289697,15.21809247782749,15.21809247782749,-10.19399322435437,-10.19399322435437,-10.19399322435437,-10.19399322435437,-10.19399322435437,-10.19399322435437,0.0,0.0,0.0,5.0240992534731195
6,1820-01-01,15.218681263831753,0.5548272613049234,4.352434730982985,15.218681263831753,15.218681263831753,-12.74454441199402,-12.74454441199402,-12.74454441199402,-12.74454441199402,-12.74454441199402,-12.74454441199402,0.0,0.0,0.0,2.4741368518377325
7,1820-02-01,15.219270049836016,2.015202799058587,6.018023247821821,15.219270049836016,15.219270049836016,-11.222864935007259,-11.222864935007259,-11.222864935007259,-11.222864935007259,-11.222864935007259,-11.222864935007259,0.0,0.0,0.0,3.9964051148287574
8,1820-03-01,15.219820849646455,6.213464648523715,10.285148254053098,15.219820849646455,15.219820849646455,-6.966579866673798,-6.966579866673798,-6.966579866673798,-6.966579866673798,-6.966579866673798,-6.966579866673798,0.0,0.0,0.0,8.253240982972656
9,1820-04-01,15.220409635650718,12.125190483396846,16.088873125483346,15.220409635650718,15.220409635650718,-1.1027092039032016,-1.1027092039032016,-1.1027092039032016,-1.1027092039032016,-1.1027092039032016,-1.1027092039032016,0.0,0.0,0.0,14.117700431747517
10,1820-05-01,15.220979428558069,17.352941635681425,21.19807303472766,15.220979428558069,15.220979428558069,4.005695055736475,4.005695055736475,4.005695055736475,4.005695055736475,4.005695055736475,4.005695055736475,0.0,0.0,0.0,19.226674484294545
