,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1819-07-01,11.622538444,20.89446496241144,24.792839423691593,11.622538444,11.622538444,11.361281391517762,11.361281391517762,11.361281391517762,11.361281391517762,11.361281391517762,11.361281391517762,0.0,0.0,0.0,22.983819835517764
1,1819-08-01,11.622837919350411,21.91632035681639,25.875466793501477,11.622837919350411,11.622837919350411,12.273931095504627,12.273931095504627,12.273931095504627,12.273931095504627,12.273931095504627,12.273931095504627,0.0,0.0,0.0,23.89676901485504
2,1819-09-01,11.623137394700821,17.76721373850956,21.655914523456843,11.623137394700821,11.623137394700821,8.119010392744348,8.119010392744348,8.119010392744348,8.119010392744348,8.119010392744348,8.119010392744348,0.0,0.0,0.0,19.74214778744517
3,1819-10-01,11.623427209556057,11.571123554949342,15.334489765310654,11.623427209556057,11.623427209556057,1.7284678074776139,1.7284678074776139,1.7284678074776139,1.7284678074776139,1.7284678074776139,1.7284678074776139,0.0,0.0,0.0,13.351895017033671
4,1819-11-01,11.623726684906467,5.86450681359563,9.448624030464028,11.623726684906467,11.623726684906467,-3.975488175222055,-3.975488175222055,-3.975488175222055,-3.975488175222055,-3.975488175222055,-3.975488175222055,0.0,0.0,0.0,7.648238509684412
5,1819-12-01,11.624016499761703,0.533026952005775,4.278061430103776,11.624016499761703,11.624016499761703,-9.209505956995113,-9.209505956995113,-9.209505956995113,-9.209505956995113,-9.209505956995113,-9.209505956995113,0.0,0.0,0.0,2.4145105427665907
6,1820-01-01,11.624315975112113,-2.1461319577616913,1.836477525305996,11.624315975112113,11.624315975112113,-11.776392715487106,-11.776392715487106,-11.776392715487106,-11.776392715487106,-11.776392715487106,-11.776392715487106,0.0,0.0,0.0,-0.15207674037499253
7,1820-02-01,11.624615450462525,-1.3728639305555297,2.582065335036279,11.624615450462525,11.624615450462525,-10.970673307406678,-10.970673307406678,-10.970673307406678,-10.970673307406678,-10.970673307406678,-10.970673307406678,0.0,0.0,0.0,0.653942143055847
8,1820-03-01,11.624895604822587,2.433255274289653,6.517319640800357,11.624895604822587,11.624895604822587,-7.215402225243738,-7.215402225243738,-7.215402225243738,-7.215402225243738,-7.215402225243738,-7.215402225243738,0.0,0.0,0.0,4.409493379578849
9,1820-04-01,11.625195080172995,8.196400593519988,12.223228308954722,11.625195080172995,11.625195080172995,-1.2952855126557579,-1.2952855126557579,-1.2952855126557579,-1.2952855126557579,-1.2952855126557579,-1.2952855126557579,0.0,0.0,0.0,10.329909567517237
10,1820-05-01,11.625484895028233,13.014102451826242,17.01769570230467,11.625484895028233,11.625484895028233,3.404205933763218,3.404205933763218,3.404205933763218,3.404205933763218,3.404205933763218,3.404205933763218,0.0,0.0,0.0,15.029690828791452
11,1820-06-01,11.625784370378643,17.14620616823334,21.11144883785836,11.625784370378643,11.625784370378643,7.5137538058632645,7.5137538058632645,7.5137538058632645,7.5137538058632645,7.5137538058632645,7.5137538058632645,0.0,0.0,0.0,19.139538176241906
12,1820-07-01,11.626074185233879,21.171513110033494,24.945362228828134,11.626074185233879,11.626074185233879,11.513906464158444,11.513906464158444,11.513906464158444,11.513906464158444,11.513906464158444,11.513906464158444,0.0,0.0,0.0,23.13998064939232
13,1820-08-01,11.62637366058429,21.82810465915856,25.753208152786726,11.62637366058429,11.62637366058429,12.163976390164999,12.163976390164999,12.163976390164999,12.163976390164999,12.163976390164999,12.163976390164999,0.0,0.0,0.0,23.79035005074929
14,1820-09-01,11.6266731359347,17.55421224053971,21.56022782864254,11.6266731359347,11.6266731359347,8.01030479461737,8.01030479461737,8.01030479461737,8.01030479461737,8.01030479461737,8.01030479461737,0.0,0.0,0.0,19.63697793055207
15,1820-10-01,11.626962950789936,11.224391919254302,15.1784772272789,11.626962950789936,11.626962950789936,1.6041379850435389,1.6041379850435389,1.6041379850435389,1.6041379850435389,1.6041379850435389,1.6041379850435389,0.0,0.0,0.0,13.231100935833474
16,1820-11-01,11.627262426140346,5.502508636068588,9.398444906413502,11.627262426140346,11.627262426140346,-4.233361570367895,-4.233361570367895,-4.233361570367895,-4.233361570367895,-4.233361570367895,-4.233361570367895,0.0,0.0,0.0,7.3939008557724515
17,1820-12-01,11.627552240995582,0.5219409735063045,4.164030556114718,11.627552240995582,11.627552240995582,-9.285110897308058,-9.285110897308058,-9.285110897308058,-9.285110897308058,-9.285110897308058,-9.285110897308058,0.0,0.0,0.0,2.3424413436875238
18,1821-01-01,11.627851716345992,-1.926095650753962,1.8160723353007062,11.627851716345992,11.627851716345992,-11.750933514982727,-11.750933514982727,-11.750933514982727,-11.750933514982727,-11.750933514982727,-11.750933514982727,0.0,0.0,0.0,-0.12308179863673452
19,1821-02-01,11.628151191696404,-1.0815014360802147,2.6338015513076614,11.628151191696404,11.628151191696404,-10.85402534952513,-10.85402534952513,-10.85402534952513,-10.85402534952513,-10.85402534952513,-10.85402534952513,0.0,0.0,0.0,0.7741258421712729
20,1821-03-01,11.62842168556129,2.5159728066449665,6.3603477993273465,11.62842168556129,11.62842168556129,-7.239674920045589,-7.239674920045589,-7.239674920045589,-7.239674920045589,-7.239674920045589,-7.239674920045589,0.0,0.0,0.0,4.388746765515702
21,1821-04-01,11.6287211609117,8.292650064808383,12.299920279492815,11.6287211609117,11.6287211609117,-1.3456733744973155,-1.3456733744973155,-1.3456733744973155,-1.3456733744973155,-1.3456733744973155,-1.3456733744973155,0.0,0.0,0.0,10.283047786414386
22,1821-05-01,11.629010975766937,12.909633265468486,16.866598491359568,11.629010975766937,11.629010975766937,3.3936080353049998,3.3936080353049998,3.3936080353049998,3.3936080353049998,3.3936080353049998,3.3936080353049998,0.0,0.0,0.0,15.022619011071937
23,1821-06-01,11.629310451117346,17.02131142752949,21.128875184487786,11.629310451117346,11.629310451117346,7.470081837824912,7.470081837824912,7.470081837824912,7.470081837824912,7.470081837824912,7.470081837824912,0.0,0.0,0.0,19.09939228894226
24,1821-07-01,11.629600265972583,21.21600189926372,25.129288049872095,11.629600265972583,11.629600265972583,11.462979448668218,11.462979448668218,11.462979448668218,11.462979448668218,11.462979448668218,11.462979448668218,0.0,0.0,0.0,23.0925797146408
25,1821-08-01,11.629899741322994,21.86521107270101,25.668945212535068,11.629899741322994,11.629899741322994,12.20073835574702,12.20073835574702,12.20073835574702,12.20073835574702,12.20073835574702,12.20073835574702,0.0,0.0,0.0,23.830638097070015
26,1821-09-01,11.630199216673404,17.696576713372487,21.640550464860954,11.630199216673404,11.630199216673404,8.04685759500981,8.04685759500981,8.04685759500981,8.04685759500981,8.04685759500981,8.04685759500981,0.0,0.0,0.0,19.677056811683215
27,1821-10-01,11.63048903152864,11.449459621654103,15.205204401781574,11.63048903152864,11.63048903152864,1.6448208035368836,1.6448208035368836,1.6448208035368836,1.6448208035368836,1.6448208035368836,1.6448208035368836,0.0,0.0,0.0,13.275309835065524
28,1821-11-01,11.63078850687905,5.5822234345009125,9.422112595356209,11.63078850687905,11.63078850687905,-4.1473705233290215,-4.1473705233290215,-4.1473705233290215,-4.1473705233290215,-4.1473705233290215,-4.1473705233290215,0.0,0.0,0.0,7.483417983550028
29,1821-12-01,11.631078321734288,0.48631840030562073,4.279725544924236,11.631078321734288,11.631078321734288,-9.259312350279432,-9.259312350279432,-9.259312350279432,-9.259312350279432,-9.259312350279432,-9.259312350279432,0.0,0.0,0.0,2.371765971454856
30,1822-01-01,11.631377797084697,-2.1179690555483233,1.769278880719438,11.631377797084697,11.631377797084697,-11.759375364100226,-11.759375364100226,-11.759375364100226,-11.759375364100226,-11.759375364100226,-11.759375364100226,0.0,0.0,0.0,-0.12799756701552845
31,1822-02-01,11.631677272435107,-1.222326937973954,2.6230702440928857,11.631677272435107,11.631677272435107,-10.89353364196678,-10.89353364196678,-10.89353364196678,-10.89353364196678,-10.89353364196678,-10.89353364196678,0.0,0.0,0.0,0.7381436304683273
32,1822-03-01,11.631947766299994,2.370275487136757,6.336642907263336,11.631947766299994,11.631947766299994,-7.263480575190741,-7.263480575190741,-7.263480575190741,-7.263480575190741,-7.263480575190741,-7.263480575190741,0.0,0.0,0.0,4.368467191109254
33,1822-04-01,11.632247241650404,8.339532158263012,12.174294007689554,11.632247241650404,11.632247241650404,-1.3960759548544128,-1.3960759548544128,-1.3960759548544128,-1.3960759548544128,-1.3960759548544128,-1.3960759548544128,0.0,0.0,0.0,10.236171286795992
34,1822-05-01,11.632537056505642,13.06134054382669,16.945492305084333,11.632537056505642,11.632537056505642,3.3826728318246992,3.3826728318246992,3.3826728318246992,3.3826728318246992,3.3826728318246992,3.3826728318246992,0.0,0.0,0.0,15.015209888330341
